Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",CP_Radial_D6.3mm_P2.50mm,2,100u,C109392
"C10, C12, C14, C16, C17, C22, C23, C9",0805,8,220n,C541527
C11,0805,1,470n,C520079
"C13, C15, C18, C19, C20, C5, C8",0805,7,100n,C520083
"C2, C21",0805,2,22n,C77069
C3,0805,1,1n,C1791
"C4, C6",0805,2,10u,C84416
"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,11,1N4448W,C124191
J1_2,Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal,1,Conn_02x03_Top_Bottom,C127367
J2_2,Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,1,Conn_01x02,C192562
J3_2,Jack_3.5mm_CUI_SJ1-3525N_Horizontal,1,AudioPlug3,C381120
J4_2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
L1,1008,1,4.7u,C82314
P2,178780-1,1,178780-1,C5166246
"Q1, Q2",TO-92_Inline_Wide,2,PN2907A,C903222
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q3, Q4, Q5, Q8, Q9",SOT-23,13,DMG2302U,C96613
Q6,SOT-23,1,DMG2305UX,C150470
"R1, R13",0805,2,48.7k,C865519
R10,0805,1,22k,C114565
"R11, R12, R14, R33, R34, R35, R45, R55, R8",0805,9,10k,C855098
"R15, R16, R17, R18, R20, R21, R23, R25, R27, R38, R39, R40, R43, R44, R46, R47",0805,16,180k,C865232
"R19, R31, R50",0805,3,470,C114564
R2,0805,1,330,C105878
"R22, R24, R26, R28",0805,4,348k,C228757
"R29, R30",0805,2,2.49k,C375522
R3,0805,1,3.3k,C114531
"R32, R36, R37, R51, R52, R53, R6",0805,7,1k,C727989
"R4, R7",0805,2,3k,C126350
"R41, R42",0805,2,220,C114519
R48,0805,1,3.9k,C865471
R49,0805,1,604,C472205
R5,0805,1,30k,C126352
R54,0805,1,120,C727984
R9,0805,1,1M,C107700
U13,SOIC-14_3.9x8.7mm_P1.27mm,1,LMV324LIDT,C262920
U2,TO-92_Inline,1,TL431LP,C398376
"U4, U6",SOIC127P599X175-8N,2,TC4424AVOA,C44150
U5,TSOT-23-6,1,AP63205WU,C2071056
U8,SSOP-8_3.95x5.21x3.27mm_P1.27mm,1,MPXHZ6115A,C3235759
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232,C30530
